,ID,UniName,UniLocation,WikiURL
157,129,Durham University,"54.77500152587891, -1.575000047683716",
158,130,Cardiff University,"51.48770141601562, -3.178999900817871",
159,130,University of Southampton,"50.93463134765625, -1.395949959754944",
160,131,"Hertford College, Oxford","51.75420379638672, -1.253466963768005",
161,132,University of Exeter,"50.73611068725586, -3.535000085830688",
162,133,University of Hull,"53.770263671875, -0.3671410083770752",
163,133,City Law School,"51.5272216796875, -0.1055555567145348",
164,134,University of Stirling,"56.14583206176758, -3.919444561004639",
165,135,University of Manchester,"53.46666717529297, -2.233333349227905",
166,135,"Lincoln College, Oxford","51.75326156616211, -1.255905032157898",
167,136,Royal Military Academy Sandhurst,"51.34027862548828, -0.7686111330986023",
